,noDA.24,noDA.26,noDA.34,noDA.60,DA.26,DA.34
sup-10,202.7588734,173.5339367,272.4148608,63.32575162,155.3210836,154.7058648
Y39B6A.27,80.36754973,92.07228347,99.42857848,7.596702302,91.54918875,67.55755149
Y37A1A.2,132.8641502,24.2387412,1855.414428,507.2073967,20.37787692,63.73825035
ZK6.6,287.7808599,147.2341222,13.9208055,6.813003558,287.2822079,57.19597275
ZK6.8,154.2708319,382.2083941,498.2194095,1229.795559,829.5259701,538.8476279
B0554.5,89.83165448,101.6400241,196.1706838,2.450041707,112.2740553,87.62116695
C08D8.1,28.41123813,17.44144776,888.6530674,599.7107439,11.94101469,15.93634612
C27C12.4,522.4496848,1328.306387,712.8140333,460.364564,1086.220006,808.1463947
F31D5.2,182.9579741,349.1748357,762.8954056,522.108761,108.5955271,63.73825035
M153.2,836.4883068,584.8496392,913.3347805,187.4627968,802.1800347,949.2239099
Y11D7A.3,1471.52568,788.3220376,424.2407104,308.7760406,888.2740911,806.1404336
Y39D8A.1,87.54598614,182.6164046,11.63051872,6.715631094,231.9482324,197.9718529
lev-10,1433.302027,1162.681454,1172.445136,570.9651094,1145.317584,780.7018058
K05C4.11,195.3651443,667.433619,363.8092304,206.3941073,201.0095472,162.9104647
R02D5.3,251.0807143,506.9472201,786.2172604,403.0696902,443.4642466,523.6639677
F15B9.10,1484.756448,937.4319518,1987.053466,1555.056245,814.5492365,940.7751483
F01D5.6,385.1499551,5020.714017,830.2581616,56.1672254,9655.241573,8347.171627
Y12A6A.1,606.417972,1257.367132,2420.089167,971.9099085,662.4791987,445.8811866
C09B8.3,70.73724456,140.0256732,20.65079856,0.980016683,250.288294,101.9812006
lurp-1,202.7399494,98.26254859,245.3926405,323.9804562,88.86644985,75.48985375
odr-2,201.5120951,299.5503449,446.9514864,214.6017085,317.0496709,304.1231275
hot-1,362.224431,419.3606006,959.0274702,219.4201496,350.926316,262.383513
hot-5,176.4407746,307.5793316,437.559026,114.4405429,280.1422402,347.1100844
hot-6,126.0748864,141.1126784,469.239259,370.5689239,122.1373607,160.0012004
mec-2,294.1735466,263.3651614,543.7822305,362.5198883,301.1699739,206.4059458
unc-1,1462.480366,1941.448116,2852.860713,1340.911358,1597.316451,1106.364984
sto-1,106.7234963,175.995574,468.4845014,680.2197435,204.8165668,219.7623982
sto-2,147.3153676,161.3333918,371.3326003,124.8359556,228.2227627,157.3428314
sto-4,837.2288042,677.3225105,1211.930273,644.962661,629.8976864,547.3320601
sto-5,512.89864,913.7914208,457.7229912,291.5691973,778.7752482,571.9026546
cca-1,835.3586369,419.9305583,479.3328429,270.6448974,620.073218,357.2354365
unc-36,1274.686396,660.8851085,878.91444,314.5006439,774.6999699,661.1441402
ccb-1,1336.038796,1232.607821,1315.900404,645.9128676,1306.739427,1238.105103
eat-4,340.0169154,324.1455343,671.5256439,351.8104132,300.8229843,181.1972116
vglu-2,694.6208054,1301.470115,710.2434176,1094.394768,1703.490099,1871.238256
vglu-3,193.6611775,221.5085097,33.29219725,65.23867177,162.2422006,269.6210032
ZK54.1,500.385606,1024.358633,1178.920613,495.8948878,853.8005209,583.0882604
C38C10.2,1777.184615,2129.104255,1518.671815,2331.864184,2535.309105,2735.964287
vnut-1,876.7400978,1917.396406,670.7580801,608.9753621,1983.407145,1277.200617
C02C2.4,294.392679,137.5163977,65.07467841,54.55428771,68.83450546,74.48667298
F21F8.11,327.6399135,299.0985963,141.7926817,116.1053128,288.5367418,107.068846
F12B6.2,446.3059867,272.7864408,395.6299291,258.1418196,252.1944466,124.1875267
ZK682.2,212.3477659,589.9846979,489.9546906,482.4981547,400.8545672,187.4239864
F25G6.7,468.8799111,319.2010766,102.2054977,17.83976425,587.285188,201.7697517
T09B9.2,69.64158269,122.3001212,90.4341117,106.6475226,238.0902965,42.61398075
F45E4.11,732.6741429,517.1661048,134.1668629,155.1693595,531.5124542,386.1271229
cat-1,127.3896807,138.2451815,285.6331372,111.1533972,128.8445603,70.93966948
glt-1,3964.51426,4951.485019,3231.37634,1926.162137,3659.916621,3311.341402
glt-3,406.7115928,434.8874363,477.9141753,696.1450146,380.6468376,194.2314275
glt-5,205.3997062,132.5631216,1833.115811,253.202488,111.4942977,78.1268204
glt-6,348.7934547,256.3225837,153.0776361,111.8020483,201.790362,106.8108166
dat-1,232.8702385,118.7479562,260.618465,97.38290435,129.0602395,55.81308219
snf-1,1056.596211,942.0499628,1841.886194,944.4898134,767.9161536,863.0066353
snf-3,3773.323875,3062.707079,10558.14662,6403.845437,1928.253888,1529.172212
snf-11,2352.21729,1198.068985,703.5528469,495.750402,1808.269092,1255.611028
snf-12,404.7769743,191.9688625,698.5984863,438.3094696,270.3664751,146.6661504
C09E8.1,1309.23718,1687.888935,1550.201788,956.0002902,1577.98201,1354.603688
F27E11.1,184.4162051,71.90450419,30.09347944,56.80801148,55.16312342,143.8428959
F27E11.2,45.42018818,110.9960046,298.8361977,127.3299645,133.6890251,50.5320148
ent-1,2117.083597,2014.437876,3936.693218,4597.56458,2246.42784,2708.383349
ent-3,16.08332838,33.56119757,5.258695312,13.96995676,75.88587576,228.8270962
ent-4,483.4976039,469.7561937,489.3774113,151.1503473,572.6109693,487.4848525
ent-6,1825.34382,2099.500939,305.1183783,136.3558706,3582.43106,2173.621788
ent-7,635.1465268,1272.593977,1036.626485,807.7696211,1012.705898,932.8713825
ncx-1,4247.51288,4267.183384,7820.478726,2021.107583,3549.397675,2545.759851
ncx-2,9444.718555,2977.46729,3739.136863,4808.984149,4119.288126,2154.531215
ncx-3,633.9183977,525.7033207,481.1635152,405.8778386,270.0198379,211.4075815
ncx-4,521.1008825,283.3758878,1092.273096,682.7734498,232.9408504,177.1987567
ncx-6,299.1834229,252.5957051,27.03542809,10.09700325,341.7933603,303.0129351
ncx-7,956.1897054,683.6574637,421.2442799,265.1590061,756.8770452,818.5511786
ncx-8,348.0038652,506.3790357,153.3591698,138.0614618,240.8164532,17.11868062
ncx-10,87.7083468,15.63095449,147.7933285,80.03629447,5.278289929,3.733291335
cdf-2,612.8139485,1684.700239,692.4953905,488.3610288,1291.721743,1449.276859
ttm-1,854.6836985,1151.008501,2609.350572,529.3599406,1729.365468,1077.157795
cdf-1,807.1061947,710.9084138,792.206306,390.5697584,730.1901282,544.4013934
Y105E8A.3,2248.323316,3827.369151,1508.14463,1364.648525,3412.091158,3110.303735
toc-1,1250.197327,2318.710327,1205.352548,1281.386355,1762.11149,1780.493001
F41C6.7,243.9061177,437.3543693,633.383543,400.8159664,311.1607135,419.7624155
F56C9.3,256.9328372,220.4850301,477.7214811,613.5959122,241.158862,360.122898
K07G5.5,579.4649649,485.4930163,406.1463157,665.1552487,715.4266074,850.0013565
PDB1.1,763.2086887,1193.600981,275.1017356,236.2940542,1758.073991,1339.263878
ZK185.5,242.1530587,288.3415048,1236.379066,1387.284863,328.1230354,230.0883063
kcc-2,4078.400833,1885.991558,3860.06923,2833.592058,2321.736247,1788.09
kcc-3,452.0788491,198.5702832,372.279048,114.6886931,332.881017,219.4330276
F10E7.9,685.5272243,978.101026,1290.427723,1151.45864,648.5469578,409.5011147
