"","noDA.24","noDA.26","noDA.34","noDA.60","DA.26","DA.34"
"WBGene00004129",112.3339981,248.2300713,900.7984413,440.9605482,205.035065,163.032145
"WBGene00004130",6427.551086,4466.025311,10877.51733,2114.950781,5328.055509,2192.195501
"WBGene00004133",430.2906743,3108.950356,212.8293878,48.38049721,6809.349655,8246.568587
"WBGene00004134",5437.909557,5069.497051,696.2315636,342.4405574,4470.206337,1603.553475
"WBGene00004135",574.5760366,1218.259744,287.2961251,3764.669331,1273.611103,1182.842949
"WBGene00004136",1455.596758,1977.682711,2241.225279,3411.696895,1914.238336,1910.076141
"WBGene00004138",2290.010574,2181.857414,2662.878752,4226.686312,2156.476651,2086.006553
"WBGene00004140",1075.494252,1082.377377,429.5352135,513.530469,1332.6967,560.7895914
"WBGene00004143",13053.02039,12218.61503,10535.24648,35967.33594,16678.58621,11309.94246
"WBGene00004155",38.41563174,43.10952827,17.29860815,1.715029195,63.72882942,64.73429701
"WBGene00004157",534.403506,961.7448345,1145.207621,1548.62314,1166.527445,289.6703505
"WBGene00004163",39.30724537,42.07193452,106.0823373,190.8002018,30.415558,50.4531391
"WBGene00004164",4320.33147,6597.254285,12054.42572,4314.812309,5304.762071,6601.142353
"WBGene00004168",88.15045132,214.6671005,517.629822,377.5813914,167.6518009,134.2122003
"WBGene00004169",939.9514209,535.3063348,1826.474859,745.6846204,520.5185255,612.2819824
"WBGene00004172",749.7247805,662.4503414,979.4331452,1064.79323,353.4329173,296.8864383
"WBGene00004173",3013.598541,809.11453,2757.988301,1583.679339,249.4700518,146.2717718
"WBGene00004175",1473.288884,1748.604033,695.3755619,842.7109911,1882.106934,2623.101118
"WBGene00004178",2526.05069,2712.409893,3989.030584,5084.168493,3448.243221,4367.82718
"WBGene00004181",760.7376211,1434.07208,1342.859196,1631.456726,1271.094283,1697.06291
"WBGene00004183",537.5766733,250.411127,2181.814674,685.330302,209.8781203,380.7168405
"WBGene00004185",1375.395409,784.1010679,1025.418367,1203.921147,1057.013098,1381.56869
"WBGene00004186",1756.438345,606.6902688,636.5922555,599.533225,947.8023222,1286.202309
"WBGene00004189",5828.008502,5699.190773,2410.342708,2166.94649,6985.274161,6369.880524
"WBGene00004190",1491.711637,1118.994876,1006.084992,980.2683644,1113.994481,2181.544954
"WBGene00004191",482.8703751,351.998193,133.6546182,107.5851451,638.0719279,293.2248885
