id,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,pval,padj
WBGene00016329,2093.233988,158.0791825,4028.388794,25.4833605,4.671483634,1.38E-50,4.05E-48
WBGene00044662,253.8489208,19.2002738,488.4975679,25.44221885,4.66915259,8.31E-23,7.08E-21
WBGene00044530,2892.357306,219.2919857,5565.422627,25.37905162,4.665566254,3.74E-67,2.58E-64
WBGene00012540,4113.103235,312.2104174,7913.996053,25.34827672,4.663815765,5.28E-67,3.54E-64
WBGene00044547,307.7129437,23.44304936,591.9828381,25.25195545,4.658323206,8.23E-46,1.97E-43
WBGene00008496,5020.195765,385.1499551,9655.241575,25.06878541,4.647820194,9.84E-74,8.26E-71
WBGene00010285,2282.74739,177.1812719,4388.313507,24.76736655,4.630368574,1.39E-58,5.03E-56
WBGene00021451,28.14362943,2.20640788,54.08085098,24.51081301,4.615346433,6.30E-05,0.000974538
WBGene00009318,234.517775,18.64490079,450.3906492,24.15623736,4.594323849,8.39E-13,3.71E-11
WBGene00020483,319.8108687,25.51726485,614.1044725,24.06623422,4.588938508,1.18E-17,7.36E-16
WBGene00018092,98.18406504,7.949102023,188.4190281,23.70318402,4.567008963,1.88E-06,3.95E-05
WBGene00015781,12845.58749,1051.243514,24639.93147,23.43884281,4.55082944,1.13E-76,1.02E-73
WBGene00000711,50.53664239,4.159675346,96.91360944,23.29835898,4.542156437,1.04E-08,3.04E-07
WBGene00018694,1031.192095,85.1656983,1977.218492,23.21613668,4.537056013,2.61E-43,5.28E-41
WBGene00077592,53.17298524,4.41281576,101.9331547,23.09934524,4.529780053,0.000625556,0.007613325
WBGene00006948,5191.622724,437.9641472,9945.281301,22.70798047,4.505127501,7.54E-64,3.85E-61
WBGene00011077,121.0618799,10.22352598,231.9002338,22.68299941,4.503539518,2.18E-08,6.15E-07
WBGene00022685,120.2035335,10.23861012,230.168457,22.48043966,4.490598346,2.04E-09,6.51E-08
WBGene00011362,2529.849382,216.6547177,4843.044046,22.35374377,4.482444567,9.73E-48,2.49E-45
WBGene00011979,63.08004203,5.406453513,120.7536305,22.33509088,4.48124022,4.95E-06,9.58E-05
WBGene00017721,215.7358894,18.50886864,412.9629102,22.3116236,4.479723596,2.23E-10,7.97E-09
WBGene00012310,27.7603582,2.391532215,53.12918418,22.21554192,4.473497429,7.91E-12,3.24E-10
WBGene00017307,5025.194194,435.3608872,9615.0275,22.08518905,4.465007277,1.93E-62,8.91E-60
